field name;mode;type
primary_key;NULLABLE;STRING
flag_takeup;NULLABLE;INTEGER
scores;NULLABLE;FLOAT
scores_bin;NULLABLE;INTEGER
slikbalance_active_unsecurednoncreditcard_sum;NULLABLE;FLOAT
dailyevent_transactions_sum_1month_over_dailyevent_allevent_sum_1month;NULLABLE;FLOAT
slikbalance_active_creditcard_sum_over_slikplafond_active_creditcard_sum;NULLABLE;FLOAT
tenor_active_min;NULLABLE;FLOAT
plafond_digibank_institution_avg;NULLABLE;FLOAT
plafond_tenor_2to11_high_interest_allcondition_sum;NULLABLE;FLOAT
dailyevent_pockets_sum_1month_over_dailyevent_allevent_sum_1month;NULLABLE;FLOAT
fundingbalance_active_min_1month;NULLABLE;FLOAT
devicemanufacture_latest;NULLABLE;FLOAT
dailyevent_allevent_sum_1month;NULLABLE;FLOAT
dailyevent_transactions_sum_3months_over_dailyevent_allevent_sum_3months;NULLABLE;FLOAT
plafond_tenor_2to11_high_interest_allcondition_sum_over_plafond_all_sum;NULLABLE;FLOAT
dailyevent_allpositive_sum_1month_over_dailyevent_allevent_sum_1month;NULLABLE;FLOAT
slikbalance_active_unsecured_sum_over_slikplafond_active_unsecured_sum;NULLABLE;FLOAT
maturity_rate;NULLABLE;FLOAT
plafond_digibank_institution_sum;NULLABLE;FLOAT
mob_multiguna_allcondition_max;NULLABLE;FLOAT
transactionamt_interbanktransfer_pct25_12months;NULLABLE;FLOAT
plafond_tenor_2to11_low_interest_allcondition_sum_over_plafond_all_sum;NULLABLE;FLOAT
