field name;type
acct_3dpd_max;INTEGER
id_number;STRING
lfs_customer_id;STRING
facility_reference;STRING
deal_reference;STRING
facility_start_date;DATE
first_due_date;DATE
day_maturity;INTEGER
day_first_due;INTEGER
deal_type;STRING
plafond;BIGNUMERIC
partner_final;STRING
flag_bibit;INTEGER
cohort_month;STRING
cohort_name;STRING
business_date;DATE
mob;INTEGER
fpd_dpd3_mob1_act;INTEGER
fpd_dpd3_mom1_bal;BIGNUMERIC
flag_bad_customer;INTEGER
flag_good_customer;INTEGER
ews_calibrated_scores;FLOAT
risk_group_hci;STRING
score_TD;NUMERIC
due_date;DATE
first_call_before_due;DATE
diff_first_call_and_before_due;INTEGER
last_call_before_due;DATE
diff_last_call_and_before_due;INTEGER
first_call_after_due;DATE
diff_first_call_and_after_due;INTEGER
last_call_after_due;DATE
diff_last_call_and_after_due;INTEGER
pred_total_calls;INTEGER
pred_commitment_payment;INTEGER
pred_unsuccessful_call;INTEGER
pred_successful_no_commit;INTEGER
pred_data_info;INTEGER
pred_workflow;INTEGER
pred_alt_channel;INTEGER
pred_complaint;INTEGER
pred_collectors;INTEGER
manual_total_calls;INTEGER
manual_commitment_payment;INTEGER
manual_unsuccessful_call;INTEGER
manual_successful_no_commit;INTEGER
manual_data_info;INTEGER
manual_workflow;INTEGER
manual_alt_channel;INTEGER
manual_complaint;INTEGER
manual_collectors;INTEGER
rpc_total_calls;INTEGER
rpc_commitment_payment;INTEGER
rpc_unsuccessful_call;INTEGER
rpc_successful_no_commit;INTEGER
rpc_data_info;INTEGER
rpc_workflow;INTEGER
rpc_alt_channel;INTEGER
rpc_complaint;INTEGER
rpc_collectors;INTEGER
tpc_total_calls;INTEGER
tpc_commitment_payment;INTEGER
tpc_unsuccessful_call;INTEGER
tpc_successful_no_commit;INTEGER
tpc_data_info;INTEGER
tpc_workflow;INTEGER
tpc_alt_channel;INTEGER
tpc_complaint;INTEGER
tpc_collectors;INTEGER
main_total_calls;INTEGER
main_commitment_payment;INTEGER
main_unsuccessful_call;INTEGER
main_successful_no_commit;INTEGER
main_data_info;INTEGER
main_workflow;INTEGER
main_alt_channel;INTEGER
main_complaint;INTEGER
main_collectors;INTEGER
emerg_total_calls;INTEGER
emerg_commitment_payment;INTEGER
emerg_unsuccessful_call;INTEGER
emerg_successful_no_commit;INTEGER
emerg_data_info;INTEGER
emerg_workflow;INTEGER
emerg_alt_channel;INTEGER
emerg_complaint;INTEGER
emerg_collectors;INTEGER
office_total_calls;INTEGER
office_commitment_payment;INTEGER
office_unsuccessful_call;INTEGER
office_successful_no_commit;INTEGER
office_data_info;INTEGER
office_workflow;INTEGER
office_alt_channel;INTEGER
office_complaint;INTEGER
office_collectors;INTEGER
total_notif_sent;INTEGER
total_notif_read;INTEGER
total_notif_unread;INTEGER
reminder_sent;INTEGER
reminder_read;INTEGER
dpd_sent;INTEGER
dpd_read;INTEGER
