field name;mode;type;description
loan_offer_source;;STRING;
business_date;;DATE;
loan_offer_id;;STRING;
event_id;;BYTES;
base_event_id;;STRING;
customer_id;;STRING;
offer_type;;STRING;
offer_status;;STRING;
product_code;;STRING;
overdraft_interest_rate;;NUMERIC;
overdraft_initial_facility_expires_at;;TIMESTAMP;
overdraft_initial_facility_limit;;STRING;
overdraft_initial_facility_active_period;;STRING;
installment_min_tenor;;NUMERIC;
installment_max_tenor;;NUMERIC;
installment_monthly_flat_rate;;NUMERIC;
installment_initial_facility_expires_at;;TIMESTAMP;
installment_initial_facility_limit;;STRING;
installment_initial_facility_active_period;;STRING;
last_usage_at;;TIMESTAMP;
agreement_version;;STRING;
agreement_agreed_at;;TIMESTAMP;
agreement_document;;STRING;
agreement_document_no;;STRING;
agreement_stamping_external_id;;STRING;
agreement_stamping_status;;STRING;
risk_bracket;;STRING;
kyc_session_id;;STRING;
monthly_repayment_ability;;NUMERIC;
version;;NUMERIC;
class;;STRING;
expires_at;;TIMESTAMP;
created_at;;TIMESTAMP;
updated_at;;TIMESTAMP;
loan_offer_deleted;;BOOLEAN;
loan_offer_inserted_by;;STRING;
loan_offer_inserted_at;;TIMESTAMP;
